"","sample_id","beta1","beta2","beta3","beta4","beta5","f1","f2","f3","f4","f5","alpha","inc_age_cat1","inc_age_cat2","inc_age_cat3","inc_age_cat4","inc_age_cat5","r_a","gamma","theta_s","theta_a","r_c","rho","phi","VE_under2","VE_2_4","VE_5_plus","duration_under2","duration_2_4","duration_5_plus"
"506",506,2.13586694378303,17.042638858997,13.4342284196033,8.39119929277995,0.788922118246048,0.039022749,0.057863715,0.090791183,0.086317949,0.068066304,0.00789298,1332.9887372593,4167.57335930784,2758.37866440067,1890.11573928383,564.974565010392,0.805930327933512,0.74849519154258,0.597483735760351,0.325343426587957,0.106471417536058,0.00196121395224235,0.0100063182971806,0.930511253,0.820105769,0.931439239,30.73627092,103.921622004,73.528609548
"507",507,2.47658035293493,18.7744659927191,12.9305466729362,8.28074700734537,0.911318813,0.040383321,0.054951975,0.079929422,0.073290791,0.063087663,0.009909851,1333.04842544092,4167.49646286999,2758.03758664532,1889.62380095658,564.906827297676,0.613883369318134,0.768259023763367,0.654126776150802,0.31305697992215,0.131508503021419,0.00076502718920943,0.00797877321540641,0.90930444,0.977235814,0.947966792,39.289983792,40.892000808,80.595766572
"508",508,2.51296205709988,19.4230210132898,12.4491824010153,7.42676331309351,1.03979911824634,0.0462727084463685,0.0506635524329368,0.076983121,0.078007898,0.066006991,0.008615901,1332.70656859505,4167.25097039513,2757.28589740935,1889.964098998,564.800993416051,0.741036704925187,1.12217662140884,0.593346587324129,0.262976089045582,0.128536780432391,0.00126219189366116,0.00772738943284429,0.932834553,0.727949898,0.868121484,43.613526348,84.1721085,115.547539824
"509",509,2.54698499226803,17.0608231306908,12.2577262370767,8.62285883313891,1.07223230704481,0.0360509192499568,0.0526619959213019,0.080679645,0.075995199,0.056728548,0.007538139,1332.71780463327,4165.9584893758,2757.23686905193,1889.96284739155,565.032588984425,0.692919861603614,0.826685723508634,0.542329526298131,0.271813276268805,0.104912181385998,0.00114222379277855,0.00776443512972565,0.885687374,0.70230518,0.838307794,41.68543878,86.391437292,89.700099336
"510",510,2.57844043566459,18.5690086930957,10.6659441152195,6.8698047255714,1.03099544132389,0.048316819,0.056863578,0.07992013,0.072023172,0.06322404,0.0130493380231214,1333.40098854129,4167.71727721228,2758.25783011014,1890.32721496263,564.9143941,0.735709220334548,1.13028196357491,0.658783328758046,0.341325520387469,0.139833662604639,0.000213649414279129,0.0148960610118523,0.974956171,0.968274335,0.908926121,18.293954172,42.038948424,113.038792668
"511",511,2.54700785667811,16.9657696295525,10.1286380977596,7.21892378959844,1.08332134807354,0.05300647,0.056498355,0.076335739,0.066910686,0.064433918,0.0132506725847693,1332.67145013295,4167.30861267125,2758.43518297054,1889.35231207759,565.061127474162,1,1.72184974188448,0.585069901784178,0.314284558182789,0.155521501120544,0.000809969713707183,0.00823844799778357,0.893331815,0.706532816,0.846324265,0.00121848,149.21316252,109.392809016
"512",512,2.30361067828267,17.187008606383,15.1038555270228,8.18237308025925,0.943325402099473,0.028551239,0.048147436,0.083759005,0.091861888,0.056491727789065,0.005440717,1333.17289908743,4166.4427977786,2756.79613739153,1889.96369930522,565.218270121595,0.883930386592974,0.761427428884015,0.550316251399728,0.237337385963633,0.136433991864969,0.0058769923030501,0.00962362996092969,0.834318565,0.841153205,0.90982836,24.519818592,61.952767668,81.280746648
"513",513,2.00657518416993,18.2498185897825,11.2296500450205,8.97673189,0.773770589210543,0.0422942853970747,0.055276683,0.086844686,0.071826617,0.065314257,0.009832696,1333.24069610723,4167.40891141578,2757.85307441168,1889.8302099426,565.055544233264,0.7193014644082,0.811073316013822,0.549035818173892,0.338782855730397,0.165201366921557,0.00480815863025969,0.00545207030295857,0.777155881,0.82175921,0.891844879,43.849322064,86.632142388,84.469816308
"514",514,2.41853613237271,17.1378666341009,11.185069387165,7.57622201525071,0.990199479957737,0.0569912264377342,0.058744387,0.069753414,0.060942967,0.067030786,0.0186032601542362,1333.32415680465,4167.21422606827,2757.6493173522,1890.1500146465,565.041223482026,0.528570108674579,1.04800094908685,0.60636438616767,0.374635265127505,0.118393206500491,0.00411753918217882,0.00829914904675783,0.758988249,0.951676528,0.920399157,56.791810464,58.794156672,60.783500364
"515",515,2.50721836482543,18.7975772185989,12.1618790697111,8.47420007187234,0.825240890698363,0.038024765,0.051370075,0.084643868,0.080303504,0.072641494,0.007084099,1333.47446367911,4166.34336047373,2757.96705385276,1890.11075618211,564.957817803141,0.74552204644452,0.834731473156882,0.569336429170769,0.26742324036932,0.141948352315808,6.51935447928902e-05,0.00851242600988587,0.889392696,0.779061308,0.897884888,38.213414832,64.165087068,90.069484896
