"","sample_id","beta1","beta2","beta3","beta4","beta5","f1","f2","f3","f4","f5","alpha","inc_age_cat1","inc_age_cat2","inc_age_cat3","inc_age_cat4","inc_age_cat5","r_a","gamma","theta_s","theta_a","r_c","rho","phi","VE_under5","VE_5_plus","duration_under5","duration_5_plus"
"813",813,2.33688352165335,18.0677789997602,12.9756797862715,7.39887016353307,0.920629107285953,0.0481681201018978,0.054887808,0.077121386,0.077209115,0.068948699,0.0102123153111215,1333.29429222958,4166.95812439043,2758.2066894476,1890.19409611465,565.044255668962,0.637044551665007,0.988496975413368,0.644393588578187,0.296553985861688,0.125471432346594,0.00918598719142162,0.0126795733147911,0.704548663,0.789804544,165.7810248,1002.16880412
"814",814,2.42732195655325,17.413690691363,13.4278409116124,7.77594857067612,0.935192211641519,0.038068673,0.053622867,0.080028065,0.079315185,0.061335848,0.008889008,1332.56161820094,4167.05849170512,2758.24882617251,1890.43598852739,564.94996,0.81039906041225,1.18888155773098,0.545205112774813,0.291538825052231,0.139423750465891,0.0143191024584863,0.00820868281241907,0.765931611,0.870909173,108.419352324,453.16080744
"815",815,2.7397872,16.332134545666,10.0701147455225,7.08064542642606,1.05834517563121,0.053384126,0.059667927,0.07807826,0.0696587,0.069967579,0.0132120232591496,1333.08668558882,4167.09580971864,2758.11253930433,1889.80343487058,565.034175296726,0.835008014325869,1.48123136075829,0.66460445654152,0.307157336308797,0.142148955585538,0.000567475816514738,0.0118256041273331,0.831838869,0.816452802,440.99190348,1182.62297196
"816",816,2.46608745999598,18.6929534808885,13.0531617697181,7.81994330270085,0.939002479567724,0.041928745,0.052831007,0.079136549,0.078099037,0.065858689,0.00863196,1333.14778573785,4166.0476320988,2757.71039717582,1889.6871648077,565.1318396,0.69253668347448,0.904307138150247,0.561169655324578,0.287706257954971,0.142552092017113,0.00112634088718923,0.00635594455442685,0.74566237,0.871782142,391.17314412,503.55969144
"817",817,2.44495322058787,18.4887472900988,12.0767901429694,7.58161025749444,0.925390203847843,0.0442760864808205,0.050611673,0.08154101,0.083827715,0.07370525,0.00694639,1333.18129196553,4166.24027231849,2758.79817651575,1889.71447877207,564.646474707366,0.831236288981293,1.07740646565713,0.578543666840131,0.25066478422558,0.107889067160912,0.000499067880731475,0.012441027495584,0.904127099,0.871534866,1043.4919062,854.60169732
"818",818,2.41634880188288,18.7695779726434,12.5258596597028,7.41780408861551,0.859198583730895,0.0423604346571843,0.054379114,0.082580292,0.07984039,0.069126313,0.009272264,1332.81203587177,4167.18135852419,2757.05766866075,1889.67997302731,564.739991285913,0.890298939521773,1.09223060341855,0.5450941553117,0.313180003500234,0.1098134241348,0.00284898406266714,0.0103484798430742,0.740541329,0.791896256,484.15376988,721.0925652
"819",819,2.62171284775159,19.7160873689694,12.3109258043703,9.42532962887901,0.890298881655863,0.0315176744324309,0.043250242,0.079287268,0.080737727,0.070529676,0.00463654,1332.87137427368,4167.759937,2758.113757578,1890.20296737781,565.31797546049,0.677232893950158,0.720978993435196,0.531515198623471,0.19802730808718,0.0982947570447061,0.000201325078440566,0.00861425382130331,0.825002074,0.822980237,403.01449584,697.8531168
"820",820,2.55144717777804,15.4673116182916,9.79933707443814,6.559553667,1.02071726162967,0.063900069,0.061865224083533,0.070272415,0.063416656,0.073176016,0.0212755389913295,1333.32793015632,4166.98508207014,2758.083690559,1889.73571494101,565.073082132172,0.518367502503266,1.08752333321714,0.65023577526014,0.345946556348027,0.0984753704158969,0.000210239497067344,0.00784677088488057,0.828453754,0.850743531,929.02961604,1025.16490668
"821",821,2.52052869402277,19.7100226708926,12.4323081294066,7.34036444772051,1.053719492202,0.046088656,0.050949225,0.07612497,0.076513412,0.063973602,0.009057637,1332.90703712939,4166.570119,2758.06976998878,1890.35271789558,564.911573162452,0.549967643144036,0.858409422461346,0.601420666073737,0.26498730933035,0.107022087890156,0.00134943186640806,0.0080406582494584,0.836716731,0.861834376,208.93932216,646.09126584
"822",822,2.4243968517334,18.2063159500403,13.8463094139162,8.23018600607585,0.885730187,0.0360037847699972,0.048833957,0.080244396,0.084978973,0.067310894,0.00630777,1333.26721845846,4166.49746140462,2757.44846438139,1890.27496978989,564.816051610296,0.842654584045506,0.920691491843496,0.601150428608935,0.243671138864468,0.128945770139215,0.00279007827004484,0.0126182227851469,0.778943218,0.96848427,64.395409116,193.98614688
"823",823,3.01632565837187,15.7005607230457,10.063064104463,7.38076991624272,1.14610117639567,0.060131136,0.0595568969259867,0.062917418,0.0534924,0.069203637,0.030341755,1333.38056073631,4166.937861,2758.25967470233,1889.89278836358,565.122875396825,0.743009379429027,1.84609818811678,0.665408852786613,0.35160541627978,0.141969373880667,0.000375662160983764,0.00761885331995771,0.767191591,0.860387934,455.98970508,742.62752184
